Time,Action,Indoor_Temperature,Ambient_Temperature,Solar_Radiation,Set_Heat_Temperature,Set_Cool_Temperature,Cop,Heat_Pump_Power,Emission_circuit_pump_electrical_power,Electrical_power_heat_pump_evaporator_fan,Occupants,Occupancy_Gain,reaQHeaPumEva_y,Q_Heat_Pump,reaQHeaPumCon_y
31.0,0.60995053569805,21.364471431381844,1.3000000000000114,0.0,21.0,24.0,3.0538260248745743,2345.6471412464152,20.498644281163177,510.20408163265313,5,219,-4817.551143921221,7252.4484706766725,7163.19828511095
31.041666666666668,0.5223697577635162,21.420488548917433,1.5,0.0,21.0,24.0,2.969114510649477,2161.702116032785,20.498644281163177,510.20408163265313,5,219,-4256.639004466962,6530.750466746558,6418.341120414621
31.083333333333332,0.45582451275282143,21.430707833593715,1.6000000000000227,0.0,21.0,24.0,2.882883435537102,2020.1444910091204,20.498644281163177,510.20408163265313,5,219,-3803.69659959167,5954.707791605804,5823.841090521723
31.125,0.41417942366894916,21.400163567498623,1.8999999999999773,0.0,21.0,24.0,2.839333248578774,1933.4685591656612,20.498644281163177,510.20408163265313,5,219,-3556.2930060156687,5598.560078619058,5489.761565120758
31.166666666666668,0.39430013863274244,21.353811430804967,2.1000000000000227,0.0,21.0,24.0,2.82265687229212,1891.4584392661777,20.498644281163177,510.20408163265313,5,219,-3447.4797229790306,5430.396584537889,5338.938162249604
31.208333333333332,0.37788885622714785,21.320076406716453,2.3999999999999773,0.0,21.0,24.0,2.8147653855933368,1858.7808658224958,20.498644281163177,510.20408163265313,5,219,-3373.2511746941996,5310.916465598602,5232.032040520374
31.25,0.3712756524481505,21.284995366348994,2.6000000000000227,0.0,21.0,24.0,2.8199631146019706,1845.4838262769435,20.498644281163177,510.20408163265313,5,219,-3358.7124923901874,5265.536118084264,5204.196318695492
31.291666666666668,0.0,21.25787878443805,2.8000000000000114,0.0,15.0,30.0,1.0,0.0,0.0,0.0,5,219,0.0,0.0,-5.4746900606674775e-12
31.333333333333332,0.005210099757611863,20.922204798565758,3.1000000000000227,0.0,15.0,30.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,-5.4746900606674775e-12
31.375,0.10160196924586418,20.64099282387906,3.5,0.0,15.0,30.0,1.8163942056399018,1293.752138983861,20.498644281163177,510.20408163265313,0,0,-1056.2117497606218,2433.0772555895524,2349.963888784514
