Time,Action,Indoor_Temperature,Ambient_Temperature,Solar_Radiation,Set_Heat_Temperature,Set_Cool_Temperature,Cop,Heat_Pump_Power,Emission_circuit_pump_electrical_power,Electrical_power_heat_pump_evaporator_fan,Occupants,Occupancy_Gain,Q_Heat_PumpreaQHeaPumCon_y,reaQHeaPumEva_y,Q_Heat_Pump,reaQHeaPumCon_y
31,0,21.36447144,1.3,0,21,24,3.053827392,2345.649757,20.49864428,510.2040816,5,219,,-4817.559723,7252.459682,7163.209479
31.04166667,0.711842852,21.47344202,1.5,0,21,24,3.157071353,2569.424726,20.49864428,510.2040816,5,219,,-5542.432471,8081.397806,8111.857196
31.08333333,0.342185993,21.46037829,1.6,0,21,24,2.644746344,1784.475133,20.49864428,510.2040816,5,219,,-2935.008951,4919.212456,4719.484083
31.125,0.34654057,21.35129411,1.9,0,21,24,2.695960487,1790.759517,20.49864428,510.2040816,5,219,,-3037.057382,4952.958827,4827.816899
31.16666667,0.382901965,21.27225979,2.1,0,21,24,2.808720068,1864.461365,20.49864428,510.2040816,5,219,,-3372.288688,5305.909678,5236.750053
31.20833333,0.742580071,21.38071539,2.4,0,21,24,3.29588072,2638.232986,20.49864428,510.2040816,5,219,,-6057.06825,8526.946677,8695.301236
31.25,0.706428202,21.58412356,2.6,0,21,24,3.251909263,2578.253488,20.49864428,510.2040816,5,219,,-5805.992911,8296.40287,8384.246398
31.29166667,0.305292145,21.61130033,2.8,0,15,30,2.624767814,1719.84816,20.49864428,510.2040816,5,219,,-2794.353935,4699.98552,4514.202095
31.33333333,0.296233223,21.44168196,3.1,0,15,30,2.634288979,1698.973519,20.49864428,510.2040816,0,0,,-2776.613698,4604.198087,4475.587218
31.375,0.352772679,21.36629419,3.5,0,15,30,2.83139849,1818.837782,20.49864428,510.2040816,0,0,,-3331.016767,5204.064978,5149.854549
31.41666667,0.711235268,21.48487351,3.7,0,15,30,3.371949693,2603.114911,20.49864428,510.2040816,0,0,,-6174.457614,8589.944175,8777.572525
31.45833333,0.67170883,21.72840134,3.9,0,15,30,3.317755785,2534.768405,20.49864428,510.2040816,0,0,,-5874.974134,8308.350877,8409.742539
31.5,0.257199554,21.82503381,4.6,0,15,30,2.571193561,1636.843601,20.49864428,510.2040816,0,0,,-2571.798126,4398.354457,4208.641727
31.54166667,0.224988731,21.81127229,5.3,0,15,30,2.500280081,1569.992053,20.49864428,510.2040816,0,0,,-2355.427804,4058.492074,3925.419858
31.58333333,0.229575905,21.76611022,5.3,0,15,30,2.530742995,1577.287237,20.49864428,510.2040816,0,0,,-2414.421389,4083.654138,3991.708627
31.625,0.577963259,21.89253233,5.4,0,15,30,3.37061509,2344.84791,20.49864428,510.2040816,0,0,,-5558.731838,7720.06917,7903.579748
31.66666667,0.535822557,22.15333322,5.4,0,15,30,3.281508119,2261.421684,20.49864428,510.2040816,0,0,,-5159.451932,7330.399619,7420.873616
31.70833333,0.115555593,22.20362922,5.5,0,15,30,1.934535158,1339.209367,20.49864428,510.2040816,0,0,,-1251.538237,2830.4285,2590.747604
31.75,0.098790259,21.96046714,5.6,0,15,30,1.83813891,1301.689698,20.49864428,510.2040816,0,0,,-1090.996784,2573.357875,2392.686482
31.79166667,0.179844285,21.74649594,5.7,0,15,30,2.333573433,1471.613788,20.49864428,510.2040816,0,0,,-1962.505052,3514.529197,3434.11884
31.83333333,0.584501353,21.80055865,5.6,0,21,24,3.414227558,2356.690406,20.49864428,510.2040816,5,219,,-5689.586925,7824.607475,8046.277332
31.875,0.566480451,22.08505831,5.8,0,21,24,3.363392272,2335.268256,20.49864428,510.2040816,5,219,,-5519.154949,7721.958659,7854.423205
31.91666667,0.138313896,22.09622967,5.6,0,21,24,2.079168093,1387.789258,20.49864428,510.2040816,5,219,,-1497.657887,3113.028845,2885.447145
31.95833333,0.134590111,21.94715743,5.7,0,21,24,2.073522807,1377.637435,20.49864428,510.2040816,5,219,,-1478.925207,3008.235761,2856.562642
32,0.184280857,21.80903944,5.4,0,21,24,2.341491932,1478.991615,20.49864428,510.2040816,5,219,,-1984.055319,3542.478992,3463.046934
32.04166667,0.563653521,21.8835925,5.3,0,21,24,3.366585426,2303.208563,20.49864428,510.2040816,5,219,,-5450.73982,7545.839894,7753.948383
32.08333333,0.5388025,22.09786362,5.7,0,21,24,3.322593137,2269.078749,20.49864428,510.2040816,5,219,,-5270.146731,7418.973919,7539.22548
32.125,0.134045459,22.10013463,5.5,0,21,24,2.051548227,1377.767157,20.49864428,510.2040816,5,219,,-1448.788612,3047.92395,2826.555768
32.16666667,0.133288456,21.95189886,5.7,0,21,24,2.066632321,1374.592685,20.49864428,510.2040816,5,219,,-1466.184987,2986.250544,2840.777672
32.20833333,0.18270038,21.83720518,5.9,0,21,24,2.358204549,1478.976102,20.49864428,510.2040816,5,219,,-2008.75207,3558.080234,3487.728171
32.25,0.554264941,21.93755544,6,0,21,24,3.403504403,2297.566909,20.49864428,510.2040816,5,219,,-5522.212182,7601.136358,7819.779091
32.29166667,0.520814854,22.15577479,5.9,0,21,24,3.309406887,2233.063462,20.49864428,510.2040816,5,219,,-5157.052139,7280.841684,7390.115601
32.33333333,0.114741737,22.1349478,5.6,0,21,24,1.936712724,1337.092192,20.49864428,510.2040816,5,219,,-1252.47127,2822.468258,2589.563461
32.375,0.121684066,21.98100275,5.9,0,21,24,2.002919293,1350.821762,20.49864428,510.2040816,5,219,,-1354.765206,2852.549214,2705.586968
32.41666667,0.172999084,21.87127432,6.1,0,21,24,2.318302199,1459.471748,20.49864428,510.2040816,5,219,,-1924.024816,3452.958762,3383.496564
32.45833333,0.542908559,21.98804712,5.9,0,21,24,3.382557841,2269.128542,20.49864428,510.2040816,5,219,,-5406.330001,7458.429349,7675.458543
32.5,0.503984294,22.26049481,6.2,0,21,24,3.305715829,2200.298933,20.49864428,510.2040816,5,219,,-5073.264078,7154.135447,7273.563011
32.54166667,0.079835063,22.31441551,6.3,0,21,24,1.716245371,1265.135244,20.49864428,510.2040816,5,219,,-906.1472624,2411.391622,2171.282506
32.58333333,0.061861496,22.20769375,6.4,2,21,24,1.58413331,1225.548069,20.49864428,510.2040816,5,219,,-715.8834501,2109.383323,1941.43152
32.625,0.097435415,22.21538821,6.9,2,21,24,1.879607552,1301.952777,20.49864428,510.2040816,5,219,,-1145.207495,2527.423284,2447.160272
32.66666667,0.428203931,22.26733918,7,0,21,24,3.263478274,2030.273796,20.49864428,510.2040816,5,219,,-4595.480629,6427.220058,6625.754425
32.70833333,0.41088694,22.43715171,7,0,21,24,3.193337571,2000.39571,20.49864428,510.2040816,5,219,,-4387.543067,6283.433155,6387.938777
32.75,0.020949432,22.36120052,7,0,21,24,1.219372748,1139.728695,20.49864428,510.2040816,5,219,,-250.0254157,1646.057984,1389.754111
32.79166667,0.046266492,22.11516097,6.9,0,21,24,1.462337512,1192.980226,20.49864428,510.2040816,5,219,,-551.5595099,1900.887995,1744.539736
32.83333333,0.128279675,21.8704885,5.3,0,21,24,2.036508476,1358.833665,20.49864428,510.2040816,5,219,,-1408.442611,2835.4936,2767.276275
32.875,0.543170501,21.84359138,4.3,0,21,24,3.291105185,2229.205662,20.49864428,510.2040816,5,219,,-5107.34465,7118.235673,7336.550312
32.91666667,0.552136205,22.01058939,4.2,0,21,24,3.254773499,2260.274117,20.49864428,510.2040816,5,219,,-5096.406181,7219.582333,7356.680298
32.95833333,0.163136871,22.03356254,4.6,0,21,24,2.180600313,1432.863735,20.49864428,510.2040816,5,219,,-1691.639374,3302.905354,3124.503108
33,0.155479153,21.89913772,4.6,0,21,24,2.150923232,1414.422686,20.49864428,510.2040816,5,219,,-1627.891929,3166.598844,3042.314615
33.04166667,0.200287427,21.76885468,4.5,0,21,24,2.376750926,1505.159738,20.49864428,510.2040816,5,219,,-2072.230063,3641.815049,3577.389802
33.08333333,0.57704844,21.86006728,5,0,21,24,3.367111639,2324.684668,20.49864428,510.2040816,5,219,,-5502.788135,7606.734898,7827.472803
33.125,0.546644239,22.05591469,4.9,0,21,24,3.280302796,2268.735177,20.49864428,510.2040816,5,219,,-5173.403168,7330.138137,7442.138345
33.16666667,0.148028438,22.05333587,4.9,0,21,24,2.108218142,1403.932616,20.49864428,510.2040816,5,219,,-1555.863595,3170.46498,2959.796211
33.20833333,0.148888043,21.90215745,4.9,0,21,24,2.125064256,1402.986466,20.49864428,510.2040816,5,219,,-1578.449925,3120.70425,2981.436391
33.25,0.199280848,21.77090312,4.6,0,21,24,2.375402969,1504.348838,20.49864428,510.2040816,5,219,,-2069.085858,3645.89129,3573.434696
33.29166667,0.576365627,21.81773859,4.1,0,21,24,3.299386852,2304.500223,20.49864428,510.2040816,5,219,,-5298.937514,7412.674837,7603.437738
33.33333333,0.560753802,21.97917135,3.9,0,21,24,3.229217998,2278.32193,20.49864428,510.2040816,5,219,,-5078.87625,7254.399107,7357.19818
33.375,0.173609549,21.98161188,4.2,0,21,24,2.21095383,1453.244766,20.49864428,510.2040816,5,219,,-1759.812316,3408.420667,3213.057081
33.41666667,0.172796041,21.86796197,4.4,0,21,24,2.228642026,1449.882193,20.49864428,510.2040816,5,219,,-1781.386195,3358.860181,3231.268388
33.45833333,0.210679344,21.82730929,5.1,0,21,24,2.45045506,1532.413343,20.49864428,510.2040816,5,219,,-2222.696687,3813.01835,3755.110031
33.5,0.557563569,22.01548351,5.4,0,21,24,3.361400223,2292.851699,20.49864428,510.2040816,5,219,,-5414.340513,7491.981678,7707.192212
33.54166667,0.494838831,22.28688458,6.1,0,21,24,3.279828462,2178.610177,20.49864428,510.2040816,5,219,,-4966.85749,7035.333876,7145.467667
33.58333333,0.071038472,22.34248906,6.6,0,21,24,1.655552827,1247.215354,20.49864428,510.2040816,5,219,,-817.6155512,2311.449273,2064.830905
33.625,0.052503648,22.21587424,7,0,21,24,1.516898522,1207.012075,20.49864428,510.2040816,5,219,,-623.9027576,2005.969889,1830.914832
33.66666667,0.094708585,22.09925829,7.3,0,21,24,1.87249309,1297.613065,20.49864428,510.2040816,5,219,,-1132.158433,2522.599722,2429.771497
33.70833333,0.466913902,22.20117335,7.7,0,21,24,3.390012882,2131.070058,20.49864428,510.2040816,5,219,,-5093.28489,6989.555835,7224.354948
33.75,0.432942218,22.39660148,7.8,0,21,24,3.289941297,2066.296645,20.49864428,510.2040816,5,219,,-4731.698019,6680.44598,6797.994665
33.79166667,0.034466172,22.34408161,7.9,0,21,24,1.36227719,1170.208216,20.49864428,510.2040816,5,219,,-423.9397439,1853.448905,1594.14796
33.83333333,0.051972796,22.1446395,7.8,0,21,24,1.530089033,1207.25612,20.49864428,510.2040816,5,219,,-639.9532292,2006.373287,1847.209349
33.875,0.118453501,22.00425013,7.8,0,21,24,2.064229498,1350.762878,20.49864428,510.2040816,5,219,,-1437.5217,2852.965922,2788.284578
33.91666667,0.49858329,22.12043268,8,0,21,24,3.471195487,2209.07597,20.49864428,510.2040816,5,219,,-5459.058569,7410.421217,7668.13454
33.95833333,0.459855772,22.36642013,8,0,21,24,3.356843958,2132.758156,20.49864428,510.2040816,5,219,,-5026.578173,7027.538958,7159.336328
34,0.044526623,22.36439151,8.1,0,21,24,1.461058513,1192.746857,20.49864428,510.2040816,5,219,,-549.9260921,1998.911623,1742.672949
34.04166667,0.045202831,22.18717539,8.1,0,21,24,1.472587044,1193.221183,20.49864428,510.2040816,5,219,,-563.9008714,1925.996912,1757.122054
34.08333333,0.10427487,22.0437563,8.1,0,21,24,1.97281855,1321.32316,20.49864428,510.2040816,5,219,,-1285.407681,2682.442842,2606.730841
34.125,0.485414568,22.14257487,8.1,0,21,24,3.455358019,2180.633471,20.49864428,510.2040816,5,219,,-5354.23588,7283.562786,7534.869351
34.16666667,0.452475043,22.38304081,8.2,0,21,24,3.357030972,2119.14588,20.49864428,510.2040816,5,219,,-4994.892473,6980.692132,7114.038353
34.20833333,0.038986395,22.37231481,8,0,21,24,1.407209384,1180.333205,20.49864428,510.2040816,5,219,,-480.6427573,1919.526086,1660.975962
34.25,0.04256173,22.18466325,7.9,0,21,24,1.444362915,1187.048452,20.49864428,510.2040816,5,219,,-527.4803106,1883.040651,1714.528762
34.29166667,0.105112249,22.03119683,7.9,0,15,30,1.972531464,1322.15212,20.49864428,510.2040816,5,219,,-1285.834537,2681.339464,2607.986657
34.33333333,0.489601057,22.05849143,8,0,15,30,3.45781309,2187.649978,20.49864428,510.2040816,0,0,,-5376.834754,7314.376994,7564.484733
34.375,0.480502858,22.29224945,8.1,0,15,30,3.403819452,2182.335313,20.49864428,510.2040816,0,0,,-5245.940076,7279.366675,7428.275389
34.41666667,0.069250183,22.30126954,8.2,0,15,30,1.682797809,1247.71068,20.49864428,510.2040816,0,0,,-851.9341189,2339.509137,2099.644799
34.45833333,0.066243486,22.16070763,8.2,0,15,30,1.664283994,1239.655925,20.49864428,510.2040816,0,0,,-823.4835885,2221.148794,2063.139513
34.5,0.113097456,22.07844177,8.6,0,15,30,2.05350089,1343.439813,20.49864428,510.2040816,0,0,,-1415.315038,2830.239001,2758.754851
34.54166667,0.473852743,22.2114551,8.2,0,15,30,3.434695315,2157.616844,20.49864428,510.2040816,0,0,,-5253.139621,7170.495264,7410.756464
34.58333333,0.429514966,22.50215408,8.7,0,15,30,3.338471939,2075.862981,20.49864428,510.2040816,0,0,,-4854.347331,6798.707625,6930.210312
34.625,0,22.484129,9.1,0,15,30,1,0,0,0,0,0,,0,0,-1.73E-12
34.66666667,0.005290333,22.28672148,9.5,1.5,15,30,1,0,0,0,0,0,,0,0,-1.73E-12
34.70833333,0.071092839,22.29758964,9.9,1.5,15,30,1.759120767,1253.953375,20.49864428,510.2040816,0,0,,-951.9020483,2248.806375,2205.855424
34.75,0.400803453,22.43837707,10,0,15,30,3.409325734,2017.570159,20.49864428,510.2040816,0,0,,-4860.983704,6611.703455,6878.553862
34.79166667,0.353874309,22.54649413,10,0,15,30,3.244025572,1916.58835,20.49864428,510.2040816,0,0,,-4300.873269,6106.32696,6217.461619
34.83333333,0,22.40435123,10.1,0,21,24,1,0,0,0,5,219,,0,0,-1.73E-12
34.875,0.031882923,22.28629095,9.9,0,21,24,1.36913037,1166.314021,20.49864428,510.2040816,5,219,,-430.5219259,1725.941022,1596.835947
34.91666667,0.07123635,22.1810085,10.1,0,21,24,1.765900871,1254.936092,20.49864428,510.2040816,5,219,,-961.1566462,2276.283178,2216.092738
34.95833333,0.439663833,22.32054865,10.3,0,21,24,3.522134073,2114.964882,20.49864428,510.2040816,5,219,,-5334.224991,7162.735957,7449.189873
35,0.393150451,22.56365507,9.7,0,21,24,3.329107579,2005.764471,20.49864428,510.2040816,5,219,,-4671.64123,6548.947917,6677.405701
35.04166667,0,22.44454896,9.2,0,21,24,1,0,0,0,5,219,,0,0,-1.73E-12
35.08333333,0.018483679,22.22267363,8.6,0,21,24,1.210044768,1135.171889,20.49864428,510.2040816,5,219,,-238.4369156,1527.775869,1373.608805
35.125,0.092442122,22.06064635,8.1,0,21,24,1.887528833,1294.580482,20.49864428,510.2040816,5,219,,-1148.977504,2496.117969,2443.557986
35.16666667,0.479784551,22.14985084,7.7,0,21,24,3.43061577,2155.800104,20.49864428,510.2040816,5,219,,-5239.92173,7132.166305,7395.721834
35.20833333,0.45004972,22.36195411,7.3,0,21,24,3.30189527,2093.530182,20.49864428,510.2040816,5,219,,-4819.087223,6778.763317,6912.617405
35.25,0.046015296,22.32984038,7.1,0,21,24,1.458571186,1193.825384,20.49864428,510.2040816,5,219,,-547.4539221,1981.148069,1741.279306
35.29166667,0.056719873,22.13072265,6.8,0,15,30,1.552260821,1215.069749,20.49864428,510.2040816,5,219,,-671.0354164,2038.28517,1886.105165
35.33333333,0.123092451,21.8853388,6.6,0,15,30,2.051676235,1354.476228,20.49864428,510.2040816,0,0,,-1424.47046,2848.363967,2778.946687
35.375,0.538220399,21.95870953,6.6,0,15,30,3.441939586,2268.091135,20.49864428,510.2040816,0,0,,-5538.541526,7547.681023,7806.63266
35.41666667,0.513763492,22.19765435,6.7,0,15,30,3.365188158,2229.769482,20.49864428,510.2040816,0,0,,-5273.824374,7358.219068,7503.593855
35.45833333,0.100781884,22.25345879,6.7,0,15,30,1.882586397,1311.500192,20.49864428,510.2040816,0,0,,-1157.512229,2687.919433,2469.012421
35.5,0.082180403,22.13212894,5.8,0.678571429,15,30,1.729219313,1266.731924,20.49864428,510.2040816,0,0,,-923.7253843,2346.969105,2190.457309
35.54166667,0.122623686,22.02522245,4.8,4.071428571,15,30,1.977355348,1345.764781,20.49864428,510.2040816,0,0,,-1315.290406,2745.164936,2661.055187
35.58333333,0.491592518,22.1337509,3.9,6.109375,15,30,3.172688288,2113.666085,20.49864428,510.2040816,0,0,,-4592.337548,6515.523507,6706.003632
35.625,0.455416366,22.3171166,3.3,2.859375,15,30,3.035822893,2035.902084,20.49864428,510.2040816,0,0,,-4144.736071,6096.217895,6180.638155
35.66666667,0.060961133,22.24882697,2.7,0.28125,15,30,1.493711538,1215.848788,20.49864428,510.2040816,0,0,,-600.2785749,2041.386351,1816.127363
35.70833333,0.083724345,22.03055616,2.1,0,15,30,1.640255543,1257.905386,20.49864428,510.2040816,0,0,,-805.3808951,2204.075482,2063.286281
35.75,0.156481281,21.83857468,2.9,0,15,30,2.094210889,1403.906477,20.49864428,510.2040816,0,0,,-1536.169754,3000.328467,2940.076232
35.79166667,0.55380844,21.82818762,3.7,0,15,30,3.258553163,2240.283862,20.49864428,510.2040816,0,0,,-5059.800203,7082.101513,7300.084066
