,reaTZon_y,reaTSetHea_y,reaTSetCoo_y,oveHeaPumY_u,weaSta_reaWeaTDryBul_y,weaSta_reaWeaHDirNor_y,cost_tot,tdist_tot
1468830.0,294.46548707929276,294.15,297.15,0.6273930694589913,274.6511092554012,0.0,2.9033702009303825e-05,0.0
1468890.0,294.46765965768236,294.15,297.15,0.6255634583442777,274.6533165625,0.0,8.710110602820856e-05,0.0
1468950.0,294.46980916710254,294.15,297.15,0.6237392823363009,274.65550877700616,0.0,0.00014516851004711326,0.0
1469010.0,294.4719328901397,294.15,297.15,0.6219211104870576,274.65768571373457,0.0,0.000203235914066018,0.0
1469070.0,294.4740309914762,294.15,297.15,0.6201088289623891,274.65984718749996,0.0,0.0002613033180849227,0.0
1469130.0,294.4761039277985,294.15,297.15,0.618302263438414,274.66199301311724,0.0,0.00031937072210353037,0.0
1469190.0,294.4781521618382,294.15,297.15,0.616501246851,274.6641230054012,0.0,0.00037743812612273217,0.0
1469250.0,294.4801761330977,294.15,297.15,0.6147056254888855,274.6662369791666,0.0,0.00043550553014133983,0.0
1469310.0,294.4821762560473,294.15,297.15,0.6129152588997832,274.6683347492284,0.0,0.0004935729341602446,0.0
1469370.0,294.48415292052874,294.15,297.15,0.6111300196166832,274.67041613040124,0.0,0.0005516403381791493,0.0
1469430.0,294.48610649188686,294.15,297.15,0.6093497931735209,274.6724809375,0.0,0.000609707742198054,0.0
1469490.0,294.4880373108111,294.15,297.15,0.6075744783090757,274.67452898533946,0.0,0.0006677751462169588,0.0
1469550.0,294.4899456930632,294.15,297.15,0.6058039872417263,274.67656008873456,0.0,0.0007258425502355664,0.0
1469610.0,294.49183192923294,294.15,297.15,0.6040382459287911,274.6785740625,0.0,0.0007839099542547683,0.0
1469670.0,294.49369628460886,294.15,297.15,0.6022771942576224,274.6805707214506,0.0,0.0008419773582733759,0.0
1469730.0,294.4955389992204,294.15,297.15,0.6005207861340671,274.6825498804012,0.0,0.0009000447622922806,0.0
1469790.0,294.49736028807513,294.15,297.15,0.5987689894533089,274.68451135416666,0.0,0.0009581121663111852,0.0
1469850.0,294.4991603415992,294.15,297.15,0.5970217859471905,274.6864549575617,0.0,0.00101617957033009,0.0
1469910.0,294.5009393262752,294.15,297.15,0.5952791709106177,274.6883805054012,0.0,0.0010742469743489948,0.0
1469970.0,294.5026973854639,294.15,297.15,0.5935411528145909,274.6902878125,0.0,0.0011323143783676024,0.0
1470030.0,294.5044346403895,294.15,297.15,0.591807752816598,274.6921766936728,0.0,0.001190381782386507,0.0
1470090.0,294.50615119126746,294.15,297.15,0.5900790041812639,274.69404696373454,0.0,0.001248449186405412,0.0
1470150.0,294.50784711854953,294.15,297.15,0.5883549516249241,274.6958984375,0.0,0.0013065165904243166,0.0
1470210.0,294.50952248426256,294.15,297.15,0.5866356505982797,274.6977309297839,0.0,0.0013645839944432213,0.0
1470270.0,294.5111773334172,294.15,297.15,0.5849211665209194,274.69954425540124,0.0,0.001422651398462126,0.0
1470330.0,294.51281169546337,294.15,297.15,0.5832115739813646,274.70133822916665,0.0,0.0014807188024810306,0.0
1470390.0,294.51442558576923,294.15,297.15,0.5815069559163216,274.70311266589505,0.0,0.0015387862064996385,0.0
1470450.0,294.5160190071043,294.15,297.15,0.5798074027808829,274.7048673804012,0.0,0.0015968536105185431,0.0
1470510.0,294.51759195110657,294.15,297.15,0.5781130117216752,274.7066021875,0.0,0.0016549210145374478,0.0
1470570.0,294.5191443997151,294.15,297.15,0.576423885764047,274.7083169020062,0.0,0.0017129884185563525,0.0
1470630.0,294.52067632655246,294.15,297.15,0.574740133023313,274.71001133873455,0.0,0.0017710558225752574,0.0
1470690.0,294.52218769824003,294.15,297.15,0.5730618659498666,274.7116853125,0.0,0.0018291232265938652,0.0
1470750.0,294.52367847563215,294.15,297.15,0.5713892006175327,274.71333863811725,0.0,0.0018871906306130665,0.0
1470810.0,294.52514861496684,294.15,297.15,0.5697222560564512,274.71497113040124,0.0,0.0019452580346316743,0.0
1470870.0,294.526598068907,294.15,297.15,0.5680611536467848,274.71658260416666,0.0,0.002003325438650579,0.0
1470930.0,294.5280267874689,294.15,297.15,0.5664060165756295,274.71817287422834,0.0,0.002061392842669484,0.0
1470990.0,294.52943471883225,294.15,297.15,0.5647569693610569,274.71974175540123,0.0,0.0021194602466883886,0.0
1471050.0,294.5308218100232,294.15,297.15,0.563114137449054,274.7212890625,0.0,0.0021775276507072935,0.0
1471110.0,294.5321880074684,294.15,297.15,0.5614776468850378,274.72281461033947,0.0,0.002235595054725901,0.0
1471170.0,294.5335332574119,294.15,297.15,0.5598476240654111,274.72431821373453,0.0,0.0022936624587451024,0.0
1471230.0,294.5348575061978,294.15,297.15,0.5582241955682078,274.7257996875,0.0,0.00235172986276371,0.0
1471290.0,294.5361607004149,294.15,297.15,0.5566074880655851,274.7272588464506,0.0,0.002409797266782615,0.0
1471350.0,294.5374427869061,294.15,297.15,0.5549976283169037,274.7286955054012,0.0,0.00246786467080152,0.0
1471410.0,294.5387037126445,294.15,297.15,0.5533947432424191,274.73010947916663,0.0,0.0025259320748204244,0.0
1471470.0,294.53994342448044,294.15,297.15,0.5517989600748332,274.7315005825617,0.0,0.0025839994788393293,0.0
1471530.0,294.5411618687658,294.15,297.15,0.5502104065862022,274.7328686304012,0.0,0.002642066882857937,0.0
1471590.0,294.5423589908611,294.15,297.15,0.548629211387091,274.7342134375,0.0,0.002700134286876842,0.0
1471650.0,294.54353473453557,294.15,297.15,0.5470555042922048,274.7355348186728,0.0,0.002758201690895746,0.0
1471710.0,294.5446890412686,294.15,297.15,0.5454894167483885,274.73683258873456,0.0,0.002816269094914651,0.0
1471770.0,294.545821849465,294.15,297.15,0.5439310823174648,274.7381065625,0.0,0.002874336498933556,0.0
1471830.0,294.54693309359493,294.15,297.15,0.5423806372080986,274.7393565547839,0.0,0.0029324039029521637,0.0
